정류장명,정류장번호,노선,기종점,일자,이용자유형,04(승차),04(하차),05(승차),05(하차),06(승차),06(하차),07(승차),07(하차),08(승차),08(하차),09(승차),09(하차),10(승차),10(하차),11(승차),11(하차),12(승차),12(하차),13(승차),13(하차),14(승차),14(하차),15(승차),15(하차),16(승차),16(하차),17(승차),17(하차),18(승차),18(하차),19(승차),19(하차),20(승차),20(하차),21(승차),21(하차),22(승차),22(하차),23(승차),23(하차),00(승차),00(하차),01(승차),01(하차),02(승차),02(하차),03(승차),03(하차),
동탄역(서측),55398,19-3,LH1단지.한양수자인 - LH1단지.한양수자인,2024-05,일반인,0,0,4,45,8,69,37,72,12,32,33,46,5,3,23,14,43,21,19,13,32,8,0,0,152,12,128,5,233,18,57,4,187,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
동탄역(서측),55398,19-3,LH1단지.한양수자인 - LH1단지.한양수자인,2024-05,어린이,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
동탄역(서측),55398,19-3,LH1단지.한양수자인 - LH1단지.한양수자인,2024-05,청소년,0,0,0,3,0,2,6,0,1,0,1,0,1,0,11,0,2,0,3,1,1,0,0,0,12,2,5,5,16,2,1,0,3,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
동탄역(서측),55398,19-3,LH1단지.한양수자인 - LH1단지.한양수자인,2024-05,경로,0,0,0,1,1,11,1,15,2,15,1,22,2,4,8,3,10,3,6,7,5,4,0,0,33,1,10,5,4,1,0,0,5,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
동탄역(서측),55398,19-3,LH1단지.한양수자인 - LH1단지.한양수자인,2024-05,장애인,0,0,0,0,0,0,0,0,0,1,0,0,0,0,3,0,0,0,0,0,1,0,0,0,1,1,0,0,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
동탄역(서측),55398,19-3,LH1단지.한양수자인 - LH1단지.한양수자인,2024-05,국가유공자,0,0,0,0,0,1,0,3,0,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
동탄역(서측),55398,200,경기고속차고지 - 경기고속차고지,2024-05,일반인,0,0,0,0,1,8,55,179,11,96,26,202,6,14,0,0,35,107,44,81,28,52,66,92,0,0,72,141,110,62,214,77,197,64,22,8,0,0,0,0,0,0,0,0,0,0,0,0,
동탄역(서측),55398,200,경기고속차고지 - 경기고속차고지,2024-05,어린이,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,0,0,2,1,0,0,0,1,2,0,0,1,1,0,4,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
동탄역(서측),55398,200,경기고속차고지 - 경기고속차고지,2024-05,청소년,0,0,0,0,0,0,0,15,1,0,0,6,0,0,0,0,2,6,0,6,1,4,5,6,0,0,5,19,4,1,4,2,9,6,1,7,0,0,0,0,0,0,0,0,0,0,0,0,
동탄역(서측),55398,200,경기고속차고지 - 경기고속차고지,2024-05,경로,0,0,0,0,0,0,1,42,0,4,5,14,0,1,0,0,6,16,9,4,8,6,20,9,0,0,15,2,13,1,22,1,23,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,
동탄역(서측),55398,200,경기고속차고지 - 경기고속차고지,2024-05,장애인,0,0,0,0,0,1,1,13,0,0,0,2,0,0,0,0,0,0,2,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
동탄역(서측),55398,200,경기고속차고지 - 경기고속차고지,2024-05,국가유공자,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
동탄역(서측),55398,203,동탄2차고지 - 동탄2차고지,2024-05,일반인,0,0,0,0,0,0,0,0,18,124,51,266,24,128,48,144,63,110,107,105,100,69,134,152,129,121,234,244,177,209,567,258,237,76,299,91,223,78,187,48,0,0,0,0,0,0,0,0,
동탄역(서측),55398,203,동탄2차고지 - 동탄2차고지,2024-05,어린이,0,0,0,0,0,0,0,0,0,0,0,0,1,1,2,0,0,0,3,0,4,3,0,10,2,19,3,1,1,1,2,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
동탄역(서측),55398,203,동탄2차고지 - 동탄2차고지,2024-05,청소년,0,0,0,0,0,0,0,0,0,3,0,2,1,0,5,2,3,4,6,3,5,1,5,13,7,14,8,40,8,3,11,3,9,4,19,2,11,4,6,4,0,0,0,0,0,0,0,0,
동탄역(서측),55398,203,동탄2차고지 - 동탄2차고지,2024-05,경로,0,0,0,0,0,0,0,0,2,0,5,8,5,2,6,6,4,6,13,5,8,5,7,4,12,3,17,2,8,3,4,0,10,0,7,2,16,1,1,0,0,0,0,0,0,0,0,0,
동탄역(서측),55398,203,동탄2차고지 - 동탄2차고지,2024-05,장애인,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,2,0,1,0,0,0,1,1,0,5,2,2,0,3,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
동탄역(서측),55398,203,동탄2차고지 - 동탄2차고지,2024-05,국가유공자,0,0,0,0,0,0,0,0,1,0,2,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
