시도,시군구,읍면동,정류장번호,정류장명,노선수,정차 노선 명
경기도,화성시,오산동,55399,동탄역(동측),36,"1000, 17, 17-1, 19-3, 19-5(A), 19-5(B), 200, 203, 205, 7-1A, 701A, 709, 81, 8202, 9, 90, 94, G6010, H1, H100, H101, H102, H11, H12, H15, H17, H18, H2, H20, H24, H4, H6(A), H65, H67, H9, 화성똑버스01"
경기도,화성시,오산동,55398,동탄역(서측),26,"19-3, 200, 203, 205, 39, 45, 7-1A, 701A, 709-1, 9, 90, G6010, H1, H100, H101, H102, H11, H12, H17, H18, H2, H24, H4, H6(B), H65, 화성똑버스01"
