정류장번호,정류장명,위도,경도,정보수집일,모바일단축번호,도시코드,도시명,관리도시명,도로명 주소
GGB233000506,독정3리.거묵골,37.07985,126.8590833,2023-10-16,37151,31240,경기도 화성시,경기,경기 화성시 장안면 독정리 산 32-3
GGB233000507,독정4리,37.0819667,126.8609833,2023-10-16,37155,31240,경기도 화성시,경기,경기 화성시 장안면 수촌리 119-5
GGB233000508,용당골,37.0887167,126.8619,2023-10-16,37159,31240,경기도 화성시,경기,경기 화성시 장안면 수촌리 1080-1
GGB233000509,꽃밭.식염온천,37.0929667,126.8618833,2023-10-16,37158,31240,경기도 화성시,경기,경기 화성시 장안면 독정리 115-3
GGB233000510,꽃밭.식염온천,37.0931,126.8619,2023-10-16,37157,31240,경기도 화성시,경기,경기 화성시 장안면 독정리 산 337-2
GGB233000511,독정4리,37.0818833,126.8610833,2023-10-16,37156,31240,경기도 화성시,경기,경기 화성시 장안면 수촌리 288-3
GGB233000512,독정3리,37.0798,126.8591667,2023-10-16,37152,31240,경기도 화성시,경기,경기 화성시 장안면 독정리 산 32-4
GGB233000513,독정삼거리,37.07015,126.8495,2023-10-16,37140,31240,경기도 화성시,경기,경기 화성시 팔탄면 구장리 564-1
GGB233000514,사랑리,37.0734333,126.834,2023-10-16,37129,31240,경기도 화성시,경기,경기 화성시 장안면 어은리 703-1
GGB233000515,어은4리,37.0817667,126.8282,2023-10-16,37124,31240,경기도 화성시,경기,경기 화성시 장안면 사랑리 112-6
GGB233000516,팔탄면행정복지센터,37.1622667,126.9041833,2023-10-16,37254,31240,경기도 화성시,경기,경기 화성시 장안면 독정리 1113-17
GGB233000517,팔탄초등학교,37.1596333,126.9031833,2023-10-16,37251,31240,경기도 화성시,경기,경기 화성시 비봉면 삼화리 산 18-3
GGB233000518,건농골교차로,37.2568667,126.85005,2023-10-16,55831,31240,경기도 화성시,경기,경기 화성시 팔탄면 구장리 234
GGB233000519,덕우저수지,37.1650333,126.9227833,2023-10-16,36061,31240,경기도 화성시,경기,경기 화성시 봉담읍 덕우리 235-4
GGB233000520,소동촌,37.1607167,126.90795,2023-10-16,37257,31240,경기도 화성시,경기,경기 화성시 팔탄면 구장리 522-1
GGB233000521,팔탄초등학교,37.1594833,126.90325,2023-10-16,37252,31240,경기도 화성시,경기,경기 화성시 팔탄면 구장리 1019-10
GGB233000522,우림아파트.화성노인회관,37.1281333,126.9021167,2023-10-16,37428,31240,경기도 화성시,경기,경기 화성시 향남읍 발안리 293
GGB233000523,발안마을주공아파트,37.1293833,126.9006833,2023-10-16,36908,31240,경기도 화성시,경기,경기 화성시 향남읍 발안리 293
GGB233000524,주공아파트,37.1304833,126.8999667,2023-10-16,37245,31240,경기도 화성시,경기,경기 화성시 향남읍 장짐리 197-8
GGB233000525,우림아파트.화성노인회관,37.12785,126.9028167,2023-10-16,37250,31240,경기도 화성시,경기,경기 화성시 향남읍 발안리 293
GGB233000526,화성중고등학교,37.1380667,126.90545,2023-10-16,37255,31240,경기도 화성시,경기,경기 화성시 향남읍 발안리 293
GGB233000527,지월리입구,37.1438167,126.8973667,2023-10-16,37235,31240,경기도 화성시,경기,경기 화성시 팔탄면 창곡리 1052-6
GGB233000528,수목원,37.1484667,126.8991833,2023-10-16,37242,31240,경기도 화성시,경기,경기 화성시 팔탄면 지월리 산 33-4
GGB233000529,금산사입구,37.19,126.88315,2023-10-16,37208,31240,경기도 화성시,경기,경기 화성시 비봉면 자안리 508-5
GGB233000530,자안리,37.2041,126.8736167,2023-10-16,37754,31240,경기도 화성시,경기,경기 화성시 팔탄면 지월리 산 41-2
GGB233000531,과학화예비군훈련장앞,37.2162667,126.8723,2023-10-16,37177,31240,경기도 화성시,경기,경기 화성시 비봉면 양노리 761-4
GGB233000532,매송휴먼시아,37.26615,126.8781667,2023-10-16,37194,31240,경기도 화성시,경기,경기 화성시 매송면 원리 425-15
GGB233000533,송라1리,37.2754333,126.88645,2023-10-16,37214,31240,경기도 화성시,경기,경기 화성시 매송면 원리 38-1
GGB233000534,원리,37.27765,126.88495,2023-10-16,37210,31240,경기도 화성시,경기,경기 화성시 매송면 송라리 541-8
GGB233000535,원리,37.2775667,126.8851167,2023-10-16,37211,31240,경기도 화성시,경기,경기 화성시 매송면 야목리 280-1
GGB233000536,송라리,37.2749,126.8868,2023-10-16,37215,31240,경기도 화성시,경기,경기 화성시 매송면 원리 171-6
GGB233000537,야목리,37.26525,126.8777667,2023-10-16,37193,31240,경기도 화성시,경기,경기 화성시 비봉면 구포리 829-2
GGB233000538,구포리,37.2499833,126.8723833,2023-10-16,37176,31240,경기도 화성시,경기,경기 화성시 비봉면 양노리 761-5
GGB233000539,양노리,37.23095,126.8739667,2023-10-16,37188,31240,경기도 화성시,경기,경기 화성시 매송면 야목리 1076-257
GGB233000540,과학화예비군훈련장앞,37.2165333,126.8723,2023-10-16,37755,31240,경기도 화성시,경기,경기 화성시 매송면 천천리 375-5
GGB233000713,천천리,37.2445833,126.9420167,2023-10-16,37312,31240,경기도 화성시,경기,경기 화성시 비봉면 양노리 155-1
GGB233000714,일광사,37.2444,126.93945,2023-10-16,37308,31240,경기도 화성시,경기,경기 화성시 매송면 숙곡리 585-3
GGB233000715,전승아파트,37.2462833,126.93055,2023-10-16,37304,31240,경기도 화성시,경기,경기 화성시 매송면 원평리 221-2
GGB233000716,원평,37.25005,126.9236333,2023-10-16,37295,31240,경기도 화성시,경기,경기 화성시 매송면 천천리 439
GGB233000717,51사단,37.2508667,126.9209,2023-10-16,37290,31240,경기도 화성시,경기,경기 화성시 매송면 원평리 17-17
GGB233000718,숙곡리천불사,37.24805,126.8982167,2023-10-16,37237,31240,경기도 화성시,경기,경기 화성시 매송면 원평리 133-3
