년도,월,지역,지역코드,버스노선,시점-종점 정보,시간,시간코드,주말/평일 구분,주말/평일 구분 코드,단일 승차인원,단일 하차인원,단일 총승객인원,환승 승차인원,환승 하차인원,환승 총승객인원,전체 승차인원,전체 하차인원,전체 총승객인원
2023,12,경기도 화성시,3124000,H65,동탄2차고지-화성시청.모두누림센터,08시~09시,8,평일,1,74,91,165,52,47,99,126,138,264
2023,12,경기도 화성시,3124000,H65,동탄2차고지-화성시청.모두누림센터,07시~08시,7,평일,1,47,30,77,6,6,12,53,36,89
2023,12,경기도 화성시,3124000,H65,동탄2차고지-화성시청.모두누림센터,06시~07시,6,평일,1,29,28,57,4,3,7,33,31,64
2023,12,경기도 화성시,3124000,H65,동탄2차고지-화성시청.모두누림센터,18시~19시,18,평일,1,82,97,179,23,31,54,105,128,233
2023,12,경기도 화성시,3124000,H65,동탄2차고지-화성시청.모두누림센터,19시~20시,19,평일,1,69,78,147,25,22,47,94,100,194
2023,12,경기도 화성시,3124000,H67,동탄2차고지-화성문화원.향남환승터미널,08시~09시,8,평일,1,63,66,129,5,11,16,68,77,145
2023,12,경기도 화성시,3124000,H67,동탄2차고지-화성문화원.향남환승터미널,06시~07시,6,평일,1,26,17,43,2,0,2,28,17,45
2023,12,경기도 화성시,3124000,H67,동탄2차고지-화성문화원.향남환승터미널,18시~19시,18,평일,1,104,84,188,41,30,71,145,114,259
2023,12,경기도 화성시,3124000,H67,동탄2차고지-화성문화원.향남환승터미널,07시~08시,7,평일,1,50,44,94,13,5,18,63,49,112
2023,12,경기도 화성시,3124000,H67,동탄2차고지-화성문화원.향남환승터미널,19시~20시,19,평일,1,69,89,158,30,37,67,99,126,225
2023,12,경기도 화성시,3124000,M4108,나루마을.월드반도-서울역버스환승센터(6번승강장)(중),18시~19시,18,평일,1,117,112,229,90,86,176,207,198,405
2023,12,경기도 화성시,3124000,M4108,나루마을.월드반도-서울역버스환승센터(6번승강장)(중),19시~20시,19,평일,1,80,137,217,56,87,143,136,224,360
2023,12,경기도 화성시,3124000,M4108,나루마을.월드반도-서울역버스환승센터(6번승강장)(중),08시~09시,8,평일,1,91,248,339,50,96,146,141,344,485
2023,12,경기도 화성시,3124000,M4108,나루마을.월드반도-서울역버스환승센터(6번승강장)(중),07시~08시,7,평일,1,222,104,326,88,47,135,310,151,461
2023,12,경기도 화성시,3124000,M4108,나루마을.월드반도-서울역버스환승센터(6번승강장)(중),06시~07시,6,평일,1,143,73,216,57,14,71,200,87,287
2023,12,경기도 화성시,3124000,M4403,나루마을.월드반도-신분당선강남역(중),06시~07시,6,평일,1,231,71,302,45,7,52,276,78,354
2023,12,경기도 화성시,3124000,M4403,나루마을.월드반도-신분당선강남역(중),07시~08시,7,평일,1,287,236,523,71,47,118,358,283,641
2023,12,경기도 화성시,3124000,M4403,나루마을.월드반도-신분당선강남역(중),08시~09시,8,평일,1,244,279,523,47,71,118,291,350,641
2023,12,경기도 화성시,3124000,M4403,나루마을.월드반도-신분당선강남역(중),18시~19시,18,평일,1,130,122,252,187,164,351,317,286,603
2023,12,경기도 화성시,3124000,M4403,나루마을.월드반도-신분당선강남역(중),19시~20시,19,평일,1,91,130,221,125,182,307,216,312,528
2023,12,경기도 화성시,3124000,P9301(출근),나루마을.월드반도-잠실광역환승센터,08시~09시,8,평일,1,0,36,36,0,7,7,0,43,43
2023,12,경기도 화성시,3124000,P9301(출근),나루마을.월드반도-잠실광역환승센터,07시~08시,7,평일,1,53,17,70,7,0,7,60,17,77
2023,12,경기도 화성시,3124000,P9301(퇴근),잠실광역환승센터-나루마을.한화꿈에그린2차,19시~20시,19,평일,1,12,35,47,0,0,0,12,35,47
2023,12,경기도 화성시,3124000,P9301(퇴근),잠실광역환승센터-나루마을.한화꿈에그린2차,18시~19시,18,평일,1,28,9,37,0,0,0,28,9,37
